0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:28:23 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:30:19 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:32:37 -0800] "GET /TESCWeather/WeatherReadings/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:32:42 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:33:08 -0800] "GET /TESCWeather/WeatherReading?id= HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:33:18 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:33:19 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:33:31 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:33:35 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:34:27 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:35:15 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:35:26 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:35:30 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:35:44 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:35:49 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:36:53 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:36:55 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:36:57 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:36:58 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:37:14 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:39:03 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 590
