127.0.0.1 - - [14/Dec/2016:18:36:20 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:21 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:25 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:26 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:30 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:34 -0800] "GET /TESCWeather/WeatherReadings/Measure/Wind HTTP/1.1" 200 23870
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:36:43 -0800] "GET /TESCWeather/WeatherReading?id=14841 HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:45:06 -0800] "GET /TESCWeather/WeatherReadings/Measure/Wind HTTP/1.1" 200 24179
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:53:09 -0800] "GET /TESCWeather/WeatherReadings/Measure/Wind HTTP/1.1" 200 24179
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:53:17 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMax HTTP/1.1" 200 24316
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:54:51 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:54:52 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:54:56 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:54:59 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMax HTTP/1.1" 200 24428
0:0:0:0:0:0:0:1 - - [14/Dec/2016:18:59:48 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:02:54 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:04:14 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:05:57 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:07:15 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:16:11 -0800] "GET /TESCWeather/Summary HTTP/1.1" 500 3738
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:16:36 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:21:36 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:24:39 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:01 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:07 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:13 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:23 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:40 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [14/Dec/2016:19:25:58 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 839
